"STAR Table Name: KIDPAN_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
PREV_KI_DATE	RECIPIENT PREVIOUS KIDNEY TRANSPLANT-MOST RECENT DATE	CALCULATED				NUM		
PREV_KI_TX	IF KI OR KP TRANSPLANT IS THERE A HISTORY OF KI or KP TRANSPLANT	CALCULATED				CHAR(1)	YNU	
PREV_MALIG_TY	ANY PREVIOUS MALIGANCY TYPE AT REGISTRATION	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	MALMULTIPED	
PREV_PA_TX	IF PA OR KP TRANSPLANT IS THERE A HISTORY of PA or KP TX	CALCULATED				CHAR(1)	YNU	
PREV_PREG	RECIPIENT NUMBER OF PREVIOUS PREGNANCIES-KI  @ TRANSPLANT	TRR	1987-10-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM	PREVPREG	
PREV_TX	HISTORY of a PREVIOUS TRANSPLANT INVOLVING EXACT SAME ORGAN AS CURRENT TX	CALCULATED				CHAR(1)	YNU	
PREV_TX_ANY	CALCULATED Previous Transplant of Any Organ Type	CALCULATED				CHAR(1)	YNU	
PREV_TX_ANY_N	CALCULATED Number of Previous Transplanted of any Organ Type in OPTN Database	CALCULATED				NUM		
PRI_PAYMENT_CTRY_DON	LIVING DONOR- FOREIGN GOVERNMENT, SPECIFIED	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(3)	CTRY	
PRI_PAYMENT_CTRY_TCR_KI	RECIPIENT-FOREIGN GOVERNMENT AS PROJECTED PAYMENT SOURCE-KI  @ REGISTRATION	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(3)	CTRY	
PRI_PAYMENT_CTRY_TCR_PA	RECIPIENT-FOREIGN GOVERNMENT AS PROJECTED PAYMENT SOURCE-PA  @ REGISTRATION	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(3)	CTRY	
PRI_PAYMENT_CTRY_TRR_KI	RECIPIENT FOREIGN COUNTRY SPECIFIED AS PRIMARY PAYMENT SOURCE-KI  @ TRANSPLANT	TRR	1999-10-25 00:00:00		PATIENT STATUS	CHAR(3)	CTRY	
PRI_PAYMENT_CTRY_TRR_PA	RECIPIENT FOREIGN COUNTRY SPECIFIED AS PRIMARY PAYMENT SOURCE-PA  @ TRANSPLANT	TRR	1999-10-25 00:00:00		PATIENT STATUS	CHAR(3)	CTRY	
PRI_PAYMENT_DON	LIVING DONOR-PRIMARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	NUM	PRIMPAY	
PRI_PAYMENT_TCR_KI	RECIPIENT-PRIMARY PROJECTED PAYMENT SOURCE-KI  @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	PRIMPAY	
PRI_PAYMENT_TCR_PA	RECIPIENT-PRIMARY PROJECTED PAYMENT SOURCE-PA  @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	PRIMPAY	
PRI_PAYMENT_TRR_KI	RECIPIENT PRIMARY PAYMENT SOURCE-KI  @ TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM	PRIMPAY	
PRI_PAYMENT_TRR_PA	RECIPIENT PRIMARY PAYMENT SOURCE-PA  @ TRANSPLANT	TRR	1990-10-01 00:00:00		PATIENT STATUS	NUM	PRIMPAY	
PRIV_INS_DON	LIVING DONOR-PRIVATE INSURANCE AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
PROTEIN_URINE	DECEASED DONOR PROTEIN IN URINE	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PRVTXDIF_KI	DAYS SINCE PREVIOUS TX -KIDNEY	CALCULATED				NUM		
PRVTXDIF_PA	DAYS SINCE PREVIOUS TX-PANCREAS	CALCULATED				NUM		
PSTATUS	Boolean Most Recent Patient Status (based on composite death date) (1=Dead, 0=Alive)	TRR/TRF-CALCULATED	1987-10-01 00:00:00		PATIENT STATUS	NUM		
PT_CODE	ENCRYPTED RECIPIENT IDENTIFIER	CALCULATED				NUM		
PT_DIURETICS_DON	DECEASED DONOR-DIURETICS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PT_STEROIDS_DON	DECEASED DONOR-STEROIDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PT_T3_DON	DECEASED DONOR-TRIIODOTHYRONINE-T3 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PT_T4_DON	DECEASED DONOR-THYROXINE-T4 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PTIME	Patient Survival Time in days (based on composite death date)	CALCULATED				NUM		
PULM_INF_CONF_DON	DECEASED DONOR-INFECTION PULMONARY SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)		
PULM_INF_DON	DECEASED DONOR-INFECTION PULMONARY SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
PUMP_KI	KIDNEY PUMP USED	DDR/TRR-CALCULATED	1994-04-01 00:00:00			CHAR(1)	YNU	
PX_NON_COMPL_PA	PANCREAS GRAFT FAILURE CONTRIBUTORY CAUSE-PATIENT NON-COMPLIANT	TRF	2004-06-30 00:00:00			CHAR(1)	YNU	
PX_STAT	RECIPIENT STATUS(Died, ReTX, Lost, Alive)	TRR/TRF-CALCULATED	1987-10-01 00:00:00		PATIENT STATUS	CHAR(1)	PXSTAT	
PX_STAT_DATE	RECIPIENT STATUS DATE	TRR/TRF-CALCULATED	1987-10-01 00:00:00		PATIENT STATUS	NUM		
R_FIN_FLOW_RATE_TX	Right Kidney Final Flow Rate at Transplant	TRR	2015-03-31 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM		
R_FIN_RESIST_TX	Right Kidney Final Resistance at Transplant	TRR	2015-03-31 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM		
RA1	RECIPIENT A1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	ALOCUS	
RA2	RECIPIENT A2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	ALOCUS	
RB1	RECIPIENT B1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	BLOCUS	
RB2	RECIPIENT B2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	BLOCUS	
RDA1	DONOR RETPYED A1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	ALOCUS	
RDA2	DONOR RETPYED A2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	ALOCUS	
RDB1	DONOR RETPYED B1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	BLOCUS	
RDB2	DONOR RETPYED B2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	BLOCUS	
RDDR1	DONOR RETPYED DR1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	DRLOCUS	
RDDR2	DONOR RETPYED DR2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	DRLOCUS	
RDR1	RECIPIENT DR1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	DRLOCUS	
RDR2	RECIPIENT DR2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	DRLOCUS	
REASONNOHBVVACCINATIONID	Reason not Vaccinated against Hepatitis B	TRR	2022-08-30 00:00:00			NUM	LOOKUPNOVACCINATIONREASON	
REC_ON_ICE	KIDNEY RECEIVED ON ICE   	TRR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM	RECONICE	
REC_ON_PUMP	KIDNEY RECEIVED ON PUMP   	TRR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM	RECONPMP	
RECOV_COUNTRY	LIVING DONOR-COUNTRY OF ORGAN RECOVERY IF NOT U.S.	LDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(3)	CTRY	
RECOV_OUT_US	LIVING DONOR-ORGAN RECOVERED OUTSIDE U.S.	LDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
RECOVERY_DATE	DECEASED ORGAN RECOVERY DATE	DDR	1987-10-01 00:00:00		ORGAN RECOVERY	NUM		
REFERRAL_DATE	DECEASED DONOR-REFERRAL DATE	DDR	1994-04-01 00:00:00		PROVIDER INFORMATION	NUM		
REGION	UNOS REGION WHERE TRANSPLANTED	CALCULATED				NUM		
REJ_ACUTE_PA	RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:ACUTE REJECTION-PA	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
REJ_BIOPSY	TRR-KIDNEY REJECTION BIOPSY DONE	TRR-KI	1987-10-01 00:00:00	2004-06-30 00:00:00	POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
REJ_CHRONIC_PA	RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:CHRONIC REJECTION-PA	TRF	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
REJ_HYPER_PA	RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:HYPERACUTE REJECTION-PA	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
REJCNF_KI	TRR KIDNEY REJECTION CONFIRMED BY BIOPSY	TRR	1987-10-01 00:00:00	2004-06-30 00:00:00	POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
REJCNF_PA	TRR PANCREAS REJECTION CONFIRMED BY BIOPSY	TRR	1987-10-01 00:00:00	2004-06-30 00:00:00	POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
REJTRT_KI	TRR RECIPIENT TREATED FOR KIDNEY REJECTION	TRR	1987-10-01 00:00:00	2004-06-30 00:00:00	POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
REJTRT_PA	TRR RECIPIENT TREATED FOR PANCREAS REJECTION	TRR	1987-10-01 00:00:00	2004-06-30 00:00:00	POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
REM_CD	REASON FOR REMOVAL FROM THE WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	REMCD	THIS IS MISSING IF PATIENT IS STILL WAITING AT TIME DATASET CREATED
RESUM_MAINT_DIAL	RECIPIENT RESUMED MAINTENANCE DIALYSIS POST KI TX	TRR/TRF	1987-10-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION/CLINICAL INFORMATION	CHAR(1)	YNU	
RESUM_MAINT_DIAL_DT	RECIPIENT DATE RESUMED MAINTENANCE DIALYSIS POST KI TX	TRR/TRF	1987-10-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION/CLINICAL INFORMATION	NUM		
RESUSCIT_DUR	DECEASED DONOR-RESUSCITATION FOLLOWING CARDIAC ARREST POST BRAIN DEATH	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		
RETXDATE_KI	DATE KIDNEY RE-TRANSPLANTED	CALCULATED				NUM		
RETXDATE_PA	DATE PANCREAS RE-TRANSPLANTED	CALCULATED				NUM		
RIGHTKIDNEYCHECKINDATE	Right Kidney Check-In Date 	TRR	2023-09-14 00:00:00			NUM		
RIGHTKIDNEYCHECKINTIME	Pancreas Check-In Time	TRR	2023-09-14 00:00:00			NUM		
RIGHTKIDNEYCHECKINTIMEZONEID	Pancreas Check-In //Time Zone	TRR	2023-09-14 00:00:00			NUM	commontz	
RT_KI_BIOPSY	DECEASED DONOR-RIGHT KIDNEY BIOPSY AT RECOVERY	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
RT_KI_GLOMERUL	DECEASED DONOR-RIGHT KIDNEY %GLOMERULOSCLEROSIS AT RECOVERY	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	NUM	KIGLUMER	
SELF_DON	LIVING DONOR-SELF AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00	2007-01-01 00:00:00	DONOR INFORMATION	CHAR(1)	YNU	
SERUM_CREAT	RECIPIENT CREATININE AT DISCHARGE	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM		
SGOT_DON	DECEASED DONOR-TERMINAL SGOT/AST	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
SGPT_DON	DECEASED DONOR-TERMINAL SGPT/ALT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
SHARE_TY	ALLOCATION TYPE-LOCAL/REGIONAL/NATIONAL (3 = Local, 4 = Regional, 5 = National, 6 = Foreign)	CALCULATED				NUM	SHARETY	3 = Local, 4 = Regional, 5 = National, 6 = Foreign
SKIN_CANCER_DON	DECEASED DONOR-SKIN CANCER AT PROCUREMENT (Y/N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
STATUS_DDR	DDR Form Status	DDR				CHAR(1)	FRMSTAT	
STATUS_LDR	LDR Form Status	LDR				CHAR(1)	FRMSTAT	
STATUS_TCR	TCR Form Status	TCR				CHAR(1)	FRMSTAT	
STATUS_TRR	TRR Form Status	TRR				CHAR(1)	FRMSTAT	
SURG_INCIS	RECIPIENT SURGICAL INCISION LOCATION-PA	TRR	1999-10-25 00:00:00	2007-01-01 00:00:00	TRANSPLANT CLINICAL INFORMATION	NUM	SURGINCI	
TATTOOS	DECEASED DONOR-TATOOS	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
TBILI_DON	DECEASED DONOR-TERMINAL TOTAL BILIRUBIN	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
TOT_SERUM_ALBUM	RECIPIENT TOTAL SERUM ALBUMIN  @ REGISTRATION	TCR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		
TRANSPLANT_TIME	TRR Transplant Time	TRR	2023-09-14 00:00:00			NUM		
TRANSPLANTTIMEZONEID	Transplant Time Zone	TRR	2023-09-14 00:00:00			NUM	commontz	
TRR_ID_CODE	ENCRYPTED TRANSPLANT IDENTIFIER	CALCULATED				CHAR(15)		
TRTREJ1Y_KI	TREATED FOR REJECTION WITHIN 1 YEAR	CALCULATED				CHAR(1)	YNU	
TRTREJ1Y_PA	TREATED FOR REJECTION WITHIN 1 YEAR	CALCULATED				CHAR(1)	YNU	
TRTREJ6M_KI	TREATED FOR REJECTION WITHIN 6 MONTHS	CALCULATED				CHAR(1)	YNU	
TRTREJ6M_PA	TREATED FOR REJECTION WITHIN 6 MONTHS	CALCULATED				CHAR(1)	YNU	
TX_DATE	TRANSPLANT DATE	TRR	1987-10-01 00:00:00		RECIPIENT INFORMATION	NUM		
TX_PROCEDUR_TY_KI	KIDNEY TRANSPLANT PROCEDURE TYPE	TRR	1987-10-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	KPPROC	
TX_PROCEDUR_TY_PA	PANCREAS TRANSPLANT PROCEDURE TYPE	TRR	1987-10-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	KPPROC	
TX_TYPE	TYPE OF PANCREAS TRANSPLANT	CALCULATED				CHAR(3)	TXTYPE	
TXHRT	SIMULTANEOUS HEART 	CALCULATED				CHAR(1)		
TXINT	SIMULTANEOUS INTESTINE	CALCULATED				CHAR(1)		W-Whole, S-Segment (This field to determines the type of multi-organ transplant performed) 
TXKID	SIMULTANEOUS KIDNEY	CALCULATED				CHAR(1)		R-Right, L-Left, E-En-Bloc (This is organ placement data from OPO, use TX_PROCEDUR_TY to identify transplant procedure types)
TXLIV	SIMULTANEOUS LIVER	CALCULATED				CHAR(1)		W-Whole, S-Segment/Split  (This field to determines the type of multi-organ transplant performed) 
TXLNG	SIMULTANEOUS LUNG	CALCULATED				CHAR(1)		R-Right, L-Left, D-Double (This field to determines the type of multi-organ transplant performed) 
TXPAN	SIMULTANEOUS PANCREAS	CALCULATED				CHAR(1)		W-Whole, S-Segment  (This field to determines the type of multi-organ transplant performed) 
TXVCA	SIMULTANEOUS VCA	CALCULATED				CHAR(1)	VCA_SIMULTX	
URINE_INF_CONF_DON	DECEASED DONOR-INFECTION URINE SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
URINE_INF_DON	DECEASED DONOR-INFECTION URINE SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
USE_WHICH_PRA	USE PEAK OR CURRENT PRA FOR ALLOCATION SCORING	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		PRA was used in allocation prior to 10/1/2009
VAL_DT_DDR	DDR Validation Date	DDR				NUM		
VAL_DT_LDR	LDR Validation Date	LDR				NUM		
VAL_DT_TCR	TCR Validation Date	TCR				NUM		
VAL_DT_TRR	TRR Validation Date	TRR				NUM		
VASC_MGMT	RECIPIENT VENOUS MANAGEMENT TYPE @ PANCREAS TX	TRR	1987-10-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	PAVENVAS	
VASODIL_DON	DECEASED DONOR-VASODILATORS W/IN 24HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
VDRL_DON	DECEASED DONOR-RPR-VDRL RESULT	DDR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
VEN_EXT_GRF	PANCREAS VENOUS EXTENSION GRAFT	TRR	1990-10-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
WARM_ISCH_TM_DON	DECEASED DONOR NON-HEART BEATING ESTIMATED WARM ISCHEMIC TIME (MINUTES)	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	ORGAN RECOVERY	NUM		
WGT_KG_CALC	CALCULATED RECIPIENT WEIGHT (kg)	CALCULATED				NUM		
WGT_KG_DON_CALC	CALCULATED DONOR WEIGHT (KG)	CALCULATED				NUM		
WGT_KG_TCR	RECIPIENT WEIGHT (kg) @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM		
WL_ID_CODE	ENCRYPTED REGISTRATION IDENTIFIER	CALCULATED				NUM		
WL_ORG	ORGAN LISTED FOR	WAITING LIST DATA	1987-10-01 00:00:00			CHAR(4)	WL_ORG	
WLHL	WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART-LUNG?	CALCULATED				CHAR(1)		
WLHR	WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART?	CALCULATED				CHAR(1)		
WLIN	WAS CANDIDATE LISTED FOR SIMULTANEOUS INTESTINE?	CALCULATED				CHAR(1)		
WLKI	WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY?	CALCULATED				CHAR(1)		
WLKP	WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY-PANCREAS?	CALCULATED				CHAR(1)		
WLLI	WAS CANDIDATE LISTED FOR SIMULTANEOUS LIVER?	CALCULATED				CHAR(1)		
WLLU	WAS CANDIDATE LISTED FOR SIMULTANEOUS LUNG?	CALCULATED				CHAR(1)		
WLPA	WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS?	CALCULATED				CHAR(1)		
WLPI	WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS ISLET?	CALCULATED				CHAR(1)		
WLVC	WAS CANDIDATE LISTED FOR SIMULTANEOUS VCA?	CALCULATED				CHAR(1)		
WORK_INCOME_TCR	WORK FOR INCOME AT REGISTRATION?	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	CHAR(1)	YNU	
WORK_INCOME_TRR	RECIPIENT WORK FOR INCOME AT TRANSPLANT?	TRR	2004-06-30 00:00:00		PATIENT STATUS	CHAR(1)	YNU	
WT_QUAL_DATE	WL OPTN (NON-VARIANCE) WAITING TIME QUALIFYING DATE	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
YR_ENTRY_US_TCR	YEAR OF ENTRY TO THE U.S.	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM		
