List of distinct SAS Analysis Formats for STAR tables chosen for this report	Unnamed: 1	Unnamed: 2	Unnamed: 3
CHDMULT	9196	Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transpos	N
CHDMULT	9197	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Co	N
CHDMULT	9198	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus	N
CHDMULT	9199	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9200	Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Pulmona	N
CHDMULT	9201	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Corrected T	N
CHDMULT	9202	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Correct	N
CHDMULT	9203	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Art	N
CHDMULT	9204	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Cor	N
CHDMULT	9205	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	9206	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Tru	N
CHDMULT	9207	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	9208	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Correcte	N
CHDMULT	9209	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arte	N
CHDMULT	9210	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	9211	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	9212	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Trun	N
CHDMULT	9213	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	9214	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	9215	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9216	Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9217	Atrial Isomerism/Heterotaxy; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9218	Hypoplastic Left Heart Syndrome; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9219	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9220	Transposition of the Great Arteries; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9221	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9222	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9223	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Single Ventricle; Tet	N
CHDMULT	9224	Atrioventricular Septal Defect; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9225	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9226	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9227	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Single Ventricle; Tetralog	N
CHDMULT	9228	Transposition of the Great Arteries; Atrioventricular Septal Defect; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9229	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Single Ventricle; Tetr	N
CHDMULT	9230	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Single Ventricle;	N
CHDMULT	9231	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9232	Other left Heart Valvar/Structural Hypoplasia; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9233	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9234	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9235	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Single Vent	N
CHDMULT	9236	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Single Ventricle; Tetralogy of Fallo	N
CHDMULT	9237	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Single	N
CHDMULT	9238	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Sin	N
CHDMULT	9239	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	9240	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9241	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Single Ventr	N
CHDMULT	9242	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Single V	N
CHDMULT	9243	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	9244	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Sing	N
CHDMULT	9245	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	9246	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	9247	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9248	Truncus Arteriosus; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9249	Atrial Isomerism/Heterotaxy; Truncus Arteriosus; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9250	Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9251	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9252	Transposition of the Great Arteries; Truncus Arteriosus; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9253	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Truncus Arteriosus; Single Ventricle; Tetralogy of Fal	N
CHDMULT	9254	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; Single Ventricle; Tetralogy of	N
CHDMULT	9255	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; S	N
CHDMULT	9256	Atrioventricular Septal Defect; Truncus Arteriosus; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9257	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Truncus Arteriosus; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9258	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Single Ventricle; Tetralogy of Fall	N
CHDMULT	9259	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Single	N
CHDMULT	9260	Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Single Ventricle; Tetralogy of	N
CHDMULT	9261	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Si	N
CHDMULT	9262	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus	N
CHDMULT	9263	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9264	Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9265	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Single Ventricle; Tetral	N
CHDMULT	9266	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Single Ventricle; Te	N
CHDMULT	9267	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Art	N
CHDMULT	9268	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Single Ventricle	N
CHDMULT	9269	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	9270	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Tru	N
CHDMULT	9271	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	9272	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Single Ventricle; Tet	N
CHDMULT	9273	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arte	N
CHDMULT	9274	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	9275	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	9276	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Trun	N
CHDMULT	9277	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	9278	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	9279	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9280	Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9281	Atrial Isomerism/Heterotaxy; Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9282	Hypoplastic Left Heart Syndrome; Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9283	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Congenitally Corrected Transposition (L-TGA); Single Ventr	N
CHDMULT	9284	Transposition of the Great Arteries; Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9285	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Congenitally Corrected Transposition (L-TGA); Single V	N
CHDMULT	9286	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Congenitally Corrected Transposition (L-TGA); Sing	N
CHDMULT	9287	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Congenitally Correcte	N
CHDMULT	9288	Atrioventricular Septal Defect; Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9289	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Congenitally Corrected Transposition (L-TGA); Single Ventri	N
CHDMULT	9290	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Congenitally Corrected Transposition (L-TGA); Single Ve	N
CHDMULT	9291	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Congenitally Corrected Tra	N
CHDMULT	9292	Transposition of the Great Arteries; Atrioventricular Septal Defect; Congenitally Corrected Transposition (L-TGA); Singl	N
CHDMULT	9293	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Congenitally Corrected	N
CHDMULT	9294	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Congenitally Corre	N
CHDMULT	9295	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9296	Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tetralogy	N
CHDMULT	9297	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition (L-TGA)	N
CHDMULT	9298	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition (L-	N
CHDMULT	9299	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Congenitall	N
CHDMULT	9300	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition	N
CHDMULT	9301	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Congeni	N
CHDMULT	9302	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Con	N
CHDMULT	9303	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	9304	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition (L-T	N
CHDMULT	9305	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Congenitally	N
CHDMULT	9306	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Congenit	N
CHDMULT	9307	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	9308	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Cong	N
CHDMULT	9309	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	9310	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	9311	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9312	Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9313	Atrial Isomerism/Heterotaxy; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tetralo	N
CHDMULT	9314	Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tet	N
CHDMULT	9315	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Congenitally Corrected Transposition (	N
CHDMULT	9316	Transposition of the Great Arteries; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Single Ventricle;	N
CHDMULT	9317	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Truncus Arteriosus; Congenitally Corrected Transpositi	N
CHDMULT	9318	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; Congenitally Corrected Transpo	N
CHDMULT	9319	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; C	N
CHDMULT	9320	Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Single Ventricle; Tetr	N
CHDMULT	9321	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transposition (L	N
CHDMULT	9322	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transpositio	N
CHDMULT	9323	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Congen	N
CHDMULT	9324	Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transpos	N
CHDMULT	9325	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Co	N
CHDMULT	9326	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus	N
CHDMULT	9327	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9328	Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Single	N
CHDMULT	9329	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Corrected T	N
CHDMULT	9330	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Correct	N
CHDMULT	9331	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Art	N
CHDMULT	9332	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Cor	N
CHDMULT	9333	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	9334	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Tru	N
CHDMULT	9335	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	9336	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Correcte	N
CHDMULT	9337	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arte	N
CHDMULT	9338	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	9339	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	9340	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Trun	N
CHDMULT	9341	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	9342	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	9343	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9344	Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9345	Atrial Isomerism/Heterotaxy; Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9346	Hypoplastic Left Heart Syndrome; Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9347	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Pulmonary Atresia with Intact Ventricular Septum; Single V	N
CHDMULT	9348	Transposition of the Great Arteries; Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle; Tetralogy of Fa	N
CHDMULT	9349	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Pulmonary Atresia with Intact Ventricular Septum; Sing	N
CHDMULT	9350	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Pulmonary Atresia with Intact Ventricular Septum;	N
CHDMULT	9351	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Pulmonary Atresia wit	N
CHDMULT	9352	Atrioventricular Septal Defect; Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9353	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Pulmonary Atresia with Intact Ventricular Septum; Single Ve	N
CHDMULT	9354	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Pulmonary Atresia with Intact Ventricular Septum; Singl	N
CHDMULT	9355	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Pulmonary Atresia with Int	N
CHDMULT	9356	Transposition of the Great Arteries; Atrioventricular Septal Defect; Pulmonary Atresia with Intact Ventricular Septum; S	N
CHDMULT	9357	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Pulmonary Atresia with	N
CHDMULT	9358	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Pulmonary Atresia	N
CHDMULT	9359	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9360	Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle; Tetra	N
CHDMULT	9361	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventricular Se	N
CHDMULT	9362	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventricula	N
CHDMULT	9363	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Pulmonary A	N
CHDMULT	9364	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventri	N
CHDMULT	9365	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Pulmona	N
CHDMULT	9366	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Pul	N
CHDMULT	9367	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	9368	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventricular	N
CHDMULT	9369	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Pulmonary At	N
CHDMULT	9370	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Pulmonar	N
CHDMULT	9371	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	9372	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Pulm	N
CHDMULT	9373	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	9374	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	9375	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9376	Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle; Tetralogy of Fallot	N
CHDMULT	9377	Atrial Isomerism/Heterotaxy; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle; Tet	N
CHDMULT	9378	Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle;	N
CHDMULT	9379	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricu	N
CHDMULT	9380	Transposition of the Great Arteries; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Single Ventri	N
CHDMULT	9381	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Truncus Arteriosus; Pulmonary Atresia with Intact Vent	N
CHDMULT	9382	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; Pulmonary Atresia with Intact	N
CHDMULT	9383	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; P	N
CHDMULT	9384	Atrioventricular Septal Defect; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Single Ventricle;	N
CHDMULT	9385	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricul	N
CHDMULT	9386	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Pulmonary Atresia with Intact Ventr	N
CHDMULT	9387	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Pulmon	N
CHDMULT	9388	Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Pulmonary Atresia with Intact V	N
CHDMULT	9389	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Pu	N
CHDMULT	9390	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus	N
CHDMULT	9391	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	9392	Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Sin	N
CHDMULT	9393	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Pulmonary Atresia with I	N
CHDMULT	9394	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Pulmonary Atresia wi	N
CHDMULT	9395	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Art	N
CHDMULT	9396	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Pulmonary Atresi	N
