"STAR Table Name: THORACIC_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
LEFTATRIALPRESSUREPOSTTX72	POST TRANSPLANT AT 72 HOURS//LEFT ATRIAL (LA) PRESSURE:	TRR	2023-09-14 00:00:00			NUM		
LEFTLUNGCHECKINDATE	Left Lung Check-In Date 	TRR	2023-09-14 00:00:00			NUM		
LEFTLUNGCHECKINTIME	Left Lung Check-In Time	TRR	2023-09-14 00:00:00			NUM		
LEFTLUNGCHECKINTIMEZONEID	Left Lung Check-In //Time Zone	TRR	2023-09-14 00:00:00			NUM		
LEVODOSAGEMCGKGMIN24	POST TRANSPLANT AT 24 HOURS//LEVO (NOREPINEPHRINE - LEVOPHED)//MCG/KG/MIN//DOSAGE:	TRR	2023-09-14 00:00:00			NUM	LEVOMCGKG	
LEVODOSAGEMCGKGMIN72	POST TRANSPLANT AT 72 HOURS//LEVO (NOREPINEPHRINE - LEVOPHED)//MCG/KG/MIN//DOSAGE:	TRR	2023-09-14 00:00:00			NUM	LEVOMCGKG	
LEVODOSAGEMCGMIN24	POST TRANSPLANT AT 24 HOURS//LEVO (NOREPINEPHRINE - LEVOPHED)//MCG/MIN//DOSAGE:	TRR	2023-09-14 00:00:00			NUM	LEVOMCG	
LEVODOSAGEMCGMIN72	POST TRANSPLANT AT 72 HOURS//LEVO (NOREPINEPHRINE - LEVOPHED)//MCG/MIN//DOSAGE:	TRR	2023-09-14 00:00:00			NUM	LEVOMCG	
LEVOPOSTTX24	POST TRANSPLANT AT 24 HOURS//LEVO (NOREPINEPHRINE - LEVOPHED):	TRR	2023-09-14 00:00:00			CHAR(1)		
LEVOPOSTTX72	POST TRANSPLANT AT 72 HOURS//LEVO (NOREPINEPHRINE - LEVOPHED):	TRR	2023-09-14 00:00:00			CHAR(1)		
LEVOUNITPOSTTX24	POST TRANSPLANT AT 24 HOURS//LEVO (NOREPINEPHRINE - LEVOPHED)//UNIT OF MEASURE:	TRR	2023-09-14 00:00:00			NUM	VASOPR	
LEVOUNITPOSTTX72	POST TRANSPLANT AT 72 HOURS//LEVO (NOREPINEPHRINE - LEVOPHED)//UNIT OF MEASURE:	TRR	2023-09-14 00:00:00			NUM	VASOPR	
LIFE_SUP_TCR	CANDIDATE LIFE SUPPORT @ REGISTRATION	CALCULATED TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(1)		
LIFE_SUP_TRR	RECIPIENT LIFE SUPPORT PRE-TRANSPLANT   @ TRANSPLANT	CALCULATED TRR	1987-10-01 00:00:00		PATIENT STATUS	CHAR(1)		
LIFESUPPORTPOSTTX24	POST TRANSPLANT AT 24 HOURS//PATIENT ON LIFE SUPPORT AT 24 HOURS:	TRR	2023-09-14 00:00:00			CHAR(1)		
LIFESUPPORTPOSTTX72	POST TRANSPLANT AT 72 HOURS//PATIENT ON LIFE SUPPORT AT 72 HOURS?	TRR	2023-09-14 00:00:00			CHAR(1)		
LISTING_CTR_CODE	ENCRYPTED WL LISTING CENTER	CALCULATED				CHAR(7)		
LISTYR	ACTUAL YEAR REGISTRANT LISTED (WITHOUT DATE OFFSET)	CALCULATED	1987-10-01 00:00:00			NUM		
LIV_DON_TY	LIVING DONOR RELATION TO RECIPIENT	LDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	LDONREL	See Main Documentation tab for more information about Living Donor Lung Transplants and LIVING DONOR for LIV_DON_TY_OSTXT field
LOS	RECIPIENT LENGTH OF STAY POST TX	TRR-CALCULATED	1999-10-25 00:00:00		PATIENT STATUS(PRIORITY KIDNEY,THEN PANCREAS TRR)	NUM		
LT_ONE_WEEK_DON	Donor Less Than 7 Days Old at Time of Donation	CALCULATED	2016-09-13 00:00:00			CHAR(1)		
LU_RECEIVED	LEFT LUNG STATE RECEIVED AT TRANSPLANT CENTER	TRR	2018-02-28 00:00:00		TRANSPLANT PROCEDURE CLINICAL INFORMATION	NUM	LURECST	
LU2_RECEIVED	RIGHT LUNG STATE RECEIVED AT TRANSPLANT CENTER	TRR	2018-02-28 00:00:00		TRANSPLANT PROCEDURE CLINICAL INFORMATION	NUM	LURECST	
LV_EJECT	DECEASED DONOR LV EJECTION FRACTION %	DDR	1999-10-25 00:00:00		HEART DONOR'S CARDIAC FUNCTION	NUM		
LV_EJECT_METH	DECEASED DONOR LV EJECTION FRACTION METHOD: ECHO, MUGA, ANGIOGRAM	DDR	1999-10-25 00:00:00		HEART DONOR'S CARDIAC FUNCTION	NUM	LVEJECTM	
LVEFPOSTTX24	POST TRANSPLANT AT 24 HOURS//LEFT VENTRICULAR EJECTION FRACTION (LVEF):	TRR	2023-09-14 00:00:00			NUM	LVEF	
LVEFPOSTTX72	POST TRANSPLANT AT 72 HOURS//LEFT VENTRICULAR EJECTION FRACTION (LVEF):	TRR	2023-09-14 00:00:00			NUM	LVEF	
MALIG	ANY PREVIOUS MALIGNANCY?	CALCULATED				CHAR(1)		
MALIG_TCR	ANY PREVIOUS MALIGNANCY (EXCLUDE NON-MELANOMA SKIN CANCER) @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
MALIG_TRR	RECIPIENT ANY KNOWN MALIGNANCIES SINCE LISTING  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
MALIG_TY	PREVIOUS MALIGNANCY TYPE	CALCULATED				NUM	MALMULTIPED	
MALIG_TY_TCR	TYPE OF PREVIOUS MALIGNANCY	TCR				NUM	MALMULTIPED	
MALIG_TY_TRR	TYPE OF MALIGNANCY BETWEEN LISTING AND TRANSPLANT	TRR	2004-06-30 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	NUM	MALMULTIPED	
MAP_INIT_DON	DDR:MAP (initial) //Map: (mm/Hg)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
MAP_POST_DON	DDR:MAP (final) //Map:	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
MEASUREMENT_DATE_TRR	TRR MEASUREMENT DATE (PEDIATRIC)	TRR	2008-03-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
MED_COND_TRR	RECIPIENT MEDICAL CONDITION PRE-TRANSPLANT   @ TRANSPLANT	TRR	1987-10-01 00:00:00		PATIENT STATUS	NUM	MEDCOND	
MILRINONEPOSTTX24	POST TRANSPLANT AT 24 HOURS//INOTROPE SUPPORT AT 24 HOURS//MILRINONE:	TRR	2023-09-14 00:00:00			NUM	MILRIN	
MILRINONEPOSTTX72	POST TRANSPLANT AT 72 HOURS//INOTROPE SUPPORT AT 72 HOURS//MILRINONE:	TRR	2023-09-14 00:00:00			NUM	MILRIN	
MOST_RCNT_CREAT	PATIENT MOST RECENT ABSOLUTE CREATININE AT LISTING	TCR	1999-10-25 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	NUM		Collection ended 1/1/07 for Lung (see INIT_CREAT & END_CREAT instead) 
MOTOR_DEV_TRR	TRR MOTOR DEVELOPMENT (PEDIATRIC)	TRR	2008-03-01 00:00:00		PATIENT STATUS	NUM	MOTOR_DEV	
MULTIORG	MULTI-ORGAN TRANSPLANT	CALCULATED				CHAR(1)		
MULTIORGANTRANSPLANTELIGIBLEFLAG	Saftey net flag indicating if thoracic patient is eligible for a kidney transplant	Waitlist	2023-06-29 00:00:00			Char	YN	
NEODOSAGEMCGKGMIN24	POST TRANSPLANT AT 24 HOURS//NEO (PHENYLEPHRINE – NEOSYNEPHRINE)//MCG/KG/MIN//DOSAGE	TRR	2023-09-14 00:00:00			NUM	NEOMCGKG	
NEODOSAGEMCGKGMIN72	POST TRANSPLANT AT 72 HOURS//NEO (PHENYLEPHRINE – NEOSYNEPHRINE)//MCG/KG/MIN//DOSAGE:	TRR	2023-09-14 00:00:00			NUM	NEOMCGKG	
NEODOSAGEMCGMIN24	POST TRANSPLANT AT 24 HOURS//NEO (PHENYLEPHRINE – NEOSYNEPHRINE)//MCG/MIN//DOSAGE:	TRR	2023-09-14 00:00:00			NUM	NEOMCG	
NEODOSAGEMCGMIN72	POST TRANSPLANT AT 72 HOURS//NEO (PHENYLEPHRINE – NEOSYNEPHRINE)//MCG/MIN//DOSAGE:	TRR	2023-09-14 00:00:00			NUM	NEOMCG	
NEOPOSTTX24	POST TRANSPLANT AT 24 HOURS//NEO (PHENYLEPHRINE – NEOSYNEPHRINE):	TRR	2023-09-14 00:00:00			CHAR(1)		
NEOPOSTTX72	POST TRANSPLANT AT 72 HOURS//NEO (PHENYLEPHRINE – NEOSYNEPHRINE):	TRR	2023-09-14 00:00:00			CHAR(1)		
NEOUNITPOSTTX24	POST TRANSPLANT AT 24 HOURS//NEO (PHENYLEPHRINE – NEOSYNEPHRINE)//UNIT OF MEASURE:	TRR	2023-09-14 00:00:00			NUM	VASOPR	
NEOUNITPOSTTX72	POST TRANSPLANT AT 72 HOURS//NEO (PHENYLEPHRINE – NEOSYNEPHRINE)//UNIT OF MEASURE:	TRR	2023-09-14 00:00:00			NUM	VASOPR	
NON_HRT_DON	DECEASED DONOR-NON-HEART BEATING DONOR	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)		
NUM_PREV_TX	THE NUMBER OF PREVIOUS TRANSPLANTS	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
O2_REQ_CALC	O2 REQUIREMENT AT REST AT TRR/Offer/Removal/Current Time	CALCULATED				NUM		
ONVENT	WL CANDIDATE ON VENTILATOR	WL			WAITING LIST DATA	CHAR(1)		
OPO_CTR_CODE	ENCRYPTED OPO CENTER CODE (OPO OF THE DECEASED DONOR RECOVERY FROM DDR FORM)	CALCULATED				CHAR(7)		
ORGAN	ORGAN TYPE TRANSPLANTED	CALCULATED				CHAR(2)		
OTH_LIFE_SUP_TCR	OTHER MECHANISM OF LIFE Y/N, 1=Y @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
OTH_LIFE_SUP_TRR	OTHER MECHANISM OF LIFE Y/N, 1=Y @ TRANSPLANT	TRR	1990-10-01 00:00:00		PATIENT STATUS	NUM		
OTHER_HYPERTENS_MED_DON	DECEASED DONOR-HYPERTENSION CONTROLLED BY NON-DIURETIC MEDS	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
OTHER_INF_CONF_DON	DECEASED DONOR INFECTION OTHER SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)		
OTHER_INF_DON	DECEASED DONOR INFECTION OTHER SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
PADIASTOLICPRESSUREPOSTTX24	POST TRANSPLANT AT 24 HOURS//PULMONARY ARTERY (PA) DIASTOLIC PRESSURE:	TRR	2023-09-14 00:00:00			NUM		
PADIASTOLICPRESSUREPOSTTX72	POST TRANSPLANT AT 72 HOURS//PULMONARY ARTERY (PA) DIASTOLIC PRESSURE:	TRR	2023-09-14 00:00:00			NUM		
PAO2_72HOURS	Recipient PaO2 at 72 Hours	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	NUM		
PASYSTOLICPRESSUREPOSTTX24	POST TRANSPLANT AT 24 HOURS//PULMONARY ARTERY (PA) SYSTOLIC PRESSURE:	TRR	2023-09-14 00:00:00			NUM		
PASYSTOLICPRESSUREPOSTTX72	POST TRANSPLANT AT 72 HOURS//PULMONARY ARTERY (PA) SYSTOLIC PRESSURE:	TRR	2023-09-14 00:00:00			NUM		
PCO2_DON	DDR:pCO2:	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
PCO2_TRR	PULMONARY STATUS: PCO2 MM/HG @ TRANSPLANT	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
PCWP_INIT_DON	DDR PCWP PA CATHETER FINAL (MM/HG)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
PCWP_POST_DON	DDR PCWP PA CATHETER FINAL (MM/HG)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
PCWPPOSTTX24	POST TRANSPLANT AT 24 HOURS//PULMONARY CAPILLARY WEDGE PRESSURE (PCWP):	TRR	2023-09-14 00:00:00			NUM		
PCWPPOSTTX72	POST TRANSPLANT AT 72 HOURS//PULMONARY CAPILLARY WEDGE PRESSURE (PCWP):	TRR	2023-09-14 00:00:00			NUM		
PERFUSED_BY	TRR LUNG(S) PERFUSION PERFORMED BY	TRR	2018-02-28 00:00:00		TRANSPLANT PROCEDURE CLINICAL INFORMATION	NUM	PERFPERF	
PERFUSED_PRIOR	TRR LUNG(S) PERFUSED PRIOR TO TRANSPLANT?	TRR	2018-02-28 00:00:00		TRANSPLANT PROCEDURE CLINICAL INFORMATION	CHAR(1)		
PERFUSION_LOCATION	TRR LOCATION LUNG(S) PERFUSION OCCURRED AT	TRR	2018-02-28 00:00:00		TRANSPLANT PROCEDURE CLINICAL INFORMATION	NUM	PERFLOC	
PERM_STATE	RECIPIENT STATE OF RESIDENCY  @ REGISTRATION	TCR	1997-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(2)	STATE	
PERM_STATE_TRR	RECIPIENT STATE OF RESIDENCY  @ TRANSPLANT	TRR	2004-06-30 00:00:00		CANDIDATE INFORMATION	CHAR(2)	STATE	
PGDLEFTPOSTTX24	POST TRANSPLANT AT 24 HOURS//PGD - LEFT VENTRICULAR DYSFUNCTION (PGD-LV):	TRR	2023-09-14 00:00:00			CHAR(1)		
PGDLEFTPOSTTX72	POST TRANSPLANT AT 72 HOURS//PGD - LEFT VENTRICULAR DYSFUNCTION (PGD-LV):	TRR	2023-09-14 00:00:00			CHAR(1)		
PGDPOSTTX24	POST TRANSPLANT AT 24 HOURS//IS PRIMARY GRAFT DYSFUNCTION (PGD) PRESENT:	TRR	2023-09-14 00:00:00			CHAR(1)		
PGDPOSTTX72	POST TRANSPLANT AT 72 HOURS//IS PRIMARY GRAFT DYSFUNCTION (PGD) PRESENT:	TRR	2023-09-14 00:00:00			CHAR(1)		
PGDRIGHTPOSTTX24	POST TRANSPLANT AT 24 HOURS//PGD - RIGHT VENTRICULAR DYSFUNCTION (PGD-RV):	TRR	2023-09-14 00:00:00			CHAR(1)		
PGDRIGHTPOSTTX72	POST TRANSPLANT AT 72 HOURS//PGD - RIGHT VENTRICULAR DYSFUNCTION (PGD-LV):	TRR	2023-09-14 00:00:00			CHAR(1)		
PGE_TCR	PATIENT ON LIFE SUPPORT: PGE @ REGISTRATION	TCR	1995-04-01 00:00:00	2004-06-30 00:00:00	CANDIDATE INFORMATION	NUM		
PGE_TRR	PATIENT ON LIFE SUPPORT: PGE @ TRANSPLANT	TRR	1995-04-01 00:00:00		PATIENT STATUS	NUM		
PH_DON	DDR:Blood PH:	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
PNEUMORED_OLD	CANDIDATE PNEUMOREDUCTION PRIOR TO LISTING	TCR		2004-06-30 00:00:00	HEART/LUNG MEDICAL FACTORS	CHAR(1)		
PNEUMOTHORAX_OLD	CANDIDATE PNEUMOTHORAZ PRIOR TO LISTING	TCR		2004-06-30 00:00:00	HEART/LUNG MEDICAL FACTORS	CHAR(1)		
PO2	 DECEASED DONOR PO2 ON 100%	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	NUM		
PO2_DONE_DON	DDR:Lung - Was pO2 done:	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)		
PO2_FIO2_DON	DDR:Lung pO2 on Fio2 //If Yes, Lung pO2 on FiO2 of:	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	NUM		
POST_TX_VENT_SUPPORT	RECIPIENT VENTILATOR SUPPORT POST TRANSPLANT	TRR	2004-06-30 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM	VENTSUPP	
PRAMR	RECIPIENT MOST RECENT PRA% @ TRANSPLANT	RH	1987-10-01 00:00:00	2004-06-29 00:00:00	PANEL REACTIVE ANTIBODY(%PRA)	NUM		
PRAMR_CL1	RECIPIENT MOST RECENT PRA% CLASS I @ TRANSPLANT 	RH	2004-06-30 00:00:00	2015-03-31 00:00:00	RECIPIENT HLA TYPING	NUM		
PRAMR_CL2	RECIPIENT MOST RECENT PRA% CLASS II @ TRANSPLANT 	RH	2004-06-30 00:00:00	2015-03-31 00:00:00	RECIPIENT HLA TYPING	NUM		
PRAPK	RECIPIENT PEAK PRA% @ TRANSPLANT	RH	1987-10-01 00:00:00	2004-06-29 00:00:00	PANEL REACTIVE ANTIBODY(%PRA)	NUM		
PRAPK_CL1	RECIPIENT PEAK PRA% CLASS I @ TRANSPLANT 	RH	2004-06-30 00:00:00	2015-03-31 00:00:00	RECIPIENT HLA TYPING	NUM		
PRAPK_CL2	RECIPIENT PEAK PRA% CLASS II @ TRANSPLANT 	RH	2004-06-30 00:00:00	2015-03-31 00:00:00	RECIPIENT HLA TYPING	NUM		
PRETITERA	TRR PEDIATRIC PRE-TRANSPLANT MOST RECENT ANTI-A TITER	TRR	2013-01-23 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
PRETITERA_DATE	TRR SAMPLE DATE OF PEDIATRIC PRE-TRANSPLANT MOST RECENT ANTI-A TITER	TRR	2013-01-23 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
PRETITERB	TRR PEDIATRIC PRE-TRANSPLANT MOST RECENT ANTI-B TITER	TRR	2013-01-23 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
PRETITERB_DATE	TRR SAMPLE DATE OF PEDIATRIC PRE-TRANSPLANT MOST RECENT ANTI-B TITER	TRR	2013-01-23 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
PRETREAT_MED_DON_OLD	DECEASED DONOR PRE-RECOVERY MEDICATION(S) FROM BRAIN DEATH TO 24 HRS PRIOR TO PROCUREMENT	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)		
PREV_TX	HISTORY of a PREVIOUS TRANSPLANT INVOLVING EXACT SAME ORGAN AS CURRENT TX	CALCULATED				CHAR(1)		
PREV_TX_ANY	CALCULATED Previous Transplant of Any Organ Type	CALCULATED				CHAR(1)		
PREV_TX_ANY_N	CALCULATED Number of Previous Transplanted of any Organ Type in OPTN Database	CALCULATED				NUM		
PRI_PAYMENT_CTRY_TCR	RECIPIENT FOREIGN GOV'T AS PROJECTED SECONDARY PAYMENT TYPE @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	CHAR(3)	CTRY	
PRI_PAYMENT_CTRY_TRR	RECIPIENT FOREIGN GOV'T AS SECONDARY PAYMENT SOURCE @ TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	CHAR(3)	CTRY	
PRI_PAYMENT_TCR	RECIPIENT PRIMARY PROJECTED PAYMENT TYPE @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	PRIMPAY	
PRI_PAYMENT_TRR	RECIPIENT PRIMARY PAYMENT SOURCE @ TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM	PRIMPAY	
PRIOR_CARD_SURG_TCR	TCR PRIOR CARDIAC SURGERY AT LISTING (NON-TRANSPLANT)	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PRIOR_CARD_SURG_TRR	TRR CARDIAC SURGERY BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT)	TRR	2004-06-30 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
PRIOR_CARD_SURG_TYPE_TCR	TRR PRIOR CARDIAC SURGERY TYPE AT LISTING (NON-TRANSPLANT)	TCR	2004-06-30 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM	CARDSURG	
PRIOR_CARD_SURG_TYPE_TRR	TRR CARDIAC SURGERY TYPE BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT)	TRR	2004-06-30 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM	CARDSURG	
PRIOR_LUNG_SURG_TRR	TRR LUNG SURGERY BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT)	TRR	1999-10-25 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
PRIOR_LUNG_SURG_TYPE_TRR	TRR LUNG SURGERY TYPE BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT)	TRR	1999-10-25 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM	LUNGSURG	
PROC_TY_HR	PROCEDURE TYPE FOR HEART ONLY	TRR	1999-10-25 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	HR_PROC	
PROS_INFUS_TCR	TCR CANDIDATE PROSTACYCLIN INFUSION	TCR				NUM		
PROS_INFUS_TRR	TRR RECIPIENT PROSTACYCLIN INFUSION	TRR			PATIENT STATUS	NUM		
PROSTACYCLIN_TCR	TCR CANDIDATE PROSTACYCLIN INHALATION	TCR				NUM		
PROSTACYCLIN_TRR	TRR RECIPIENT PROSTACYCLIN INHALATION	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM		
PROTEIN_URINE	DECEASED DONOR PROTEIN IN URINE	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PRVTXDIF	RECIPIENT DAYS BETWEEN PREVIOUS AND CURRENT TRANSPLANT	CALCULATED				NUM		
PST_AIRWAY	EVENTS PRIOR TO DISCHARGE: AIRWAY DEHISCENCE	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)		
PST_DIAL	EVENTS PRIOR TO DISCHARGE: DIALYSIS	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)		
PST_PACEMAKER	EVENTS PRIOR TO DISCHARGE: PERMANENT PACEMAKER	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)		
PST_STROKE	EVENTS PRIOR TO DISCHARGE: STROKE	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)		
PSTATUS	Boolean Most Recent Patient Status (based on composite death date) (1=Dead, 0=Alive)	TRR/TRF-CALCULATED	1987-10-01 00:00:00		PATIENT STATUS	NUM		
PT_CODE	ENCRYPTED RECIPIENT IDENTIFIER	CALCULATED				NUM		
PT_DIURETICS_DON	DECEASED DONOR-DIURETICS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PT_STEROIDS_DON	DECEASED DONOR-STEROIDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PT_T3_DON	DECEASED DONOR-TRIIODOTHYRONINE-T3 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PT_T4_DON	DECEASED DONOR-THYROXINE-T4 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PTIME	Patient Survival Time in days (based on composite death date)	CALCULATED				NUM		
PULM_CATH_DON	DDR PA CATH (Y,N)	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)		
PULM_INF_CONF_DON	DECEASED DONOR-INFECTION PULMONARY SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)		
PULM_INF_DON	DECEASED DONOR-INFECTION PULMONARY SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
PX_STAT	RECIPIENT STATUS(Died, ReTX, Lost, Alive)	TRR/TRF-CALCULATED	1987-10-01 00:00:00		PATIENT STATUS	CHAR(1)	PXSTAT	
PX_STAT_DATE	RECIPIENT STATUS DATE	TRR/TRF-CALCULATED	1987-10-02 00:00:00		PATIENT STATUS	NUM		
RA1	RECIPIENT A1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	ALOCUS	
RA2	RECIPIENT A2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	ALOCUS	
RB1	RECIPIENT B1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	BLOCUS	
RB2	RECIPIENT B2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	BLOCUS	
RDR1	RECIPIENT DR1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	DRLOCUS	
RDR2	RECIPIENT DR2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	DRLOCUS	
REASONNOHBVVACCINATIONID	Reason not Vaccinated against Hepatitis B	TRR	2022-08-30 00:00:00			NUM	LOOKUPNOVACCINATIONREASON	
RECOV_COUNTRY	COUNTRY OF ORGAN RECOVERY IF NOT U.S.	LDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(3)	CTRY	
RECOV_OUT_US	ORGAN RECOVERED OUTSIDE U.S.	LDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)		
RECOVERY_DATE_DON	ORGAN RECOVERY DATE	DDR / LDR	1987-10-01 00:00:00		ORGAN RECOVERY	NUM		
REFERRAL_DATE	DATE OF REFERRAL CALL	DDR	1994-04-01 00:00:00		PROVIDER INFORMATION	NUM		
REGION	UNOS REGION WHERE TRANSPLANTED/LISTED	CALCULATED				NUM		
REINTUBATED	RECIPIENT REINTUBATED POST TRANSPLANT	TRR	2004-06-30 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)		
REM_CD	REASON FOR REMOVAL FROM THE WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	REMCD	THIS IS MISSING IF PATIENT IS STILL WAITING AT TIME DATASET CREATED
RESIST_INF	PAN-RESISTANT BACTERIAL INFECTION @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
RESUSCIT_DUR	DECEASED DONOR-RESUSCITATION FOLLOWING CARDIAC ARREST POST BRAIN DEATH	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		
RETXDATE	DATE RE-TRANSPLANTED	CALCULATED				NUM		
RIGHTATRIALPRESSUREPOSTTX24	POST TRANSPLANT AT 24 HOURS//RIGHT ATRIAL (RA) PRESSURE:	TRR	2023-09-14 00:00:00			NUM		
RIGHTATRIALPRESSUREPOSTTX72	POST TRANSPLANT AT 72 HOURS//RIGHT ATRIAL (RA) PRESSURE:	TRR	2023-09-14 00:00:00			NUM		
RIGHTLUNGCHECKINDATE	Right Lung Check-In Date	TRR	2023-09-14 00:00:00			NUM		
RIGHTLUNGCHECKINTIME	Right Lung Check-In Time	TRR	2023-09-14 00:00:00			NUM		
RIGHTLUNGCHECKINTIMEZONEID	Right Lung Check-In //Time Zone	TRR	2023-09-14 00:00:00			NUM		
SGOT_DON	DECEASED DONOR-TERMINAL SGOT/AST	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
SGPT_DON	DECEASED DONOR-TERMINAL SGPT/ALT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
